City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Cabo San Lucas,MX,2022-09-17 19:19:59,22.8909,-109.9124,92.17,58,20,9.22
241,Chicama,PE,2022-09-17 19:20:00,-7.8447,-79.1469,63.14,63,25,11.23
242,Sao Luis De Montes Belos,BR,2022-09-17 19:20:00,-16.525,-50.3722,95.25,22,13,8.7
243,Rundu,NA,2022-09-17 19:20:01,-17.9333,19.7667,71.92,21,0,3.44
244,Abnub,EG,2022-09-17 19:20:01,27.2696,31.1511,82.08,27,0,7.27
245,Aksarka,RU,2022-09-17 19:20:01,66.5606,67.7975,50.14,66,97,11.21
246,Lagoa Formosa,BR,2022-09-17 19:20:02,-18.7786,-46.4075,77.02,48,94,8.79
247,Thayetmyo,MM,2022-09-17 19:20:02,19.3167,95.1833,75.16,98,100,3.83
248,Novyy Urengoy,RU,2022-09-17 19:20:03,66.0833,76.6333,49.44,66,100,12.5
249,Coahuayana,MX,2022-09-17 19:20:03,18.7333,-103.6833,78.78,89,100,3.15
250,Olafsvik,IS,2022-09-17 19:20:04,64.8945,-23.7142,48.36,77,92,8.08
251,College,US,2022-09-17 19:20:04,64.8569,-147.8028,53.29,77,75,3.44
252,Priargunsk,RU,2022-09-17 19:20:05,50.3691,119.1012,40.8,87,100,16.02
253,Arys,KZ,2022-09-17 19:20:05,42.4252,68.795,71.92,24,77,4.05
254,Saint George,US,2022-09-17 19:18:50,37.1041,-113.5841,87.44,30,0,3.0
255,Tucuma,BR,2022-09-17 19:20:06,-0.1833,-50.05,86.41,62,39,11.27
256,Bonthe,SL,2022-09-17 19:20:06,7.5264,-12.505,77.43,85,100,10.18
257,Carnarvon,AU,2022-09-17 19:20:06,-24.8667,113.6333,65.35,80,0,16.91
258,Sarangani,PH,2022-09-17 19:20:07,5.4033,125.4636,83.01,72,95,3.89
259,Nakhon Si Thammarat,TH,2022-09-17 19:20:07,8.25,100.0,76.01,80,21,6.13
260,Honiara,SB,2022-09-17 19:20:08,-9.4333,159.95,77.02,85,64,4.36
261,Khatanga,RU,2022-09-17 19:20:08,71.9667,102.5,25.16,91,16,6.38
262,Yar-Sale,RU,2022-09-17 19:20:09,66.8333,70.8333,49.05,70,100,9.53
263,Grand Gaube,MU,2022-09-17 19:20:09,-20.0064,57.6608,72.0,69,2,8.99
264,Gorontalo,ID,2022-09-17 19:20:09,0.5412,123.0595,73.58,93,100,1.9
265,Nangong,CN,2022-09-17 19:20:10,37.3581,115.3744,68.4,65,1,4.09
266,Puerto Baquerizo Moreno,EC,2022-09-17 19:20:10,-0.9,-89.6,70.79,73,75,9.22
267,Los Llanos De Aridane,ES,2022-09-17 19:20:11,28.6585,-17.9182,73.15,85,40,5.75
268,Mabaruma,GY,2022-09-17 19:20:11,8.2,-59.7833,78.73,87,100,5.64
269,Walvis Bay,NA,2022-09-17 19:20:11,-22.9575,14.5053,57.09,88,0,6.91
270,Gamba,GA,2022-09-17 19:20:12,-2.65,10.0,74.86,84,100,8.81
271,Svetlaya,RU,2022-09-17 19:21:12,46.5389,138.3297,56.39,95,100,9.22
272,Varadero,CU,2022-09-17 19:20:48,23.1536,-81.2514,90.36,71,99,11.27
