City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,19.57,light rain and snow
176,Isangel,VU,-19.55,169.2667,77.02,81,8,12.21,clear sky
177,Nunoa,PE,-14.48,-70.6411,42.73,70,15,2.08,few clouds
178,Sioux Lookout,CA,50.1001,-91.917,59.07,100,100,2.3,overcast clouds
179,Kiunga,PG,-6.1219,141.2906,86.9,70,59,4.29,broken clouds
180,Russell,US,32.3502,-85.1999,71.2,100,0,0.0,mist
181,Saint-Augustin,CA,51.226,-58.6502,40.15,70,3,5.68,clear sky
182,Tefe,BR,-3.3542,-64.7114,73.36,87,53,1.48,broken clouds
183,Takanabe,JP,32.1333,131.5,78.69,53,34,12.86,scattered clouds
184,Wynyard,AU,-41.0,145.7167,55.96,78,97,5.32,overcast clouds
185,Khatanga,RU,71.9667,102.5,30.65,62,63,10.36,broken clouds
186,Sabha,LY,27.0377,14.4283,83.19,16,0,6.78,clear sky
187,Elliot Lake,CA,46.3834,-82.6331,53.15,97,24,4.43,few clouds
188,Lengshuitan,CN,26.4111,111.5956,94.5,29,53,11.92,broken clouds
189,Pochutla,MX,15.7432,-96.4661,75.81,94,97,3.27,overcast clouds
190,Rocha,UY,-34.4833,-54.3333,57.06,95,83,8.16,broken clouds
191,Chebenki,RU,51.9337,55.7077,64.15,19,61,9.69,broken clouds
192,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,100,20,2.3,few clouds
193,Hirara,JP,24.8,125.2833,82.26,69,75,16.11,broken clouds
194,Uige,AO,-7.6087,15.0613,67.98,92,77,1.43,broken clouds
195,Banikoara,BJ,11.2985,2.4386,70.52,99,89,4.88,light rain
196,Eastlake,US,41.6539,-81.4504,65.21,94,100,0.0,mist
197,Miyako,JP,39.6367,141.9525,61.84,89,100,11.23,overcast clouds
198,Erzin,TR,36.9559,36.2,78.3,67,4,3.09,clear sky
199,Shaunavon,CA,49.6501,-108.4181,47.98,82,49,16.06,scattered clouds
200,Kushmurun,KZ,52.4503,64.6311,74.32,17,9,6.22,clear sky
201,Bredasdorp,ZA,-34.5322,20.0403,55.13,80,31,2.01,scattered clouds
202,Bilma,NE,18.6853,12.9164,89.1,39,20,4.72,few clouds
203,Geraldton,AU,-28.7667,114.6,66.61,59,100,12.66,overcast clouds
204,Sorong,ID,-0.8833,131.25,84.25,71,69,2.98,light rain
205,Cayenne,GF,4.9333,-52.3333,78.84,89,0,1.14,clear sky
206,Lavrentiya,RU,65.5833,-171.0,40.01,74,100,5.61,overcast clouds
207,Pascagoula,US,30.3658,-88.5561,73.45,96,0,0.0,clear sky
208,La Victoria,VE,10.2184,-67.3302,69.67,92,87,2.73,overcast clouds
209,Madarounfa,NE,13.3087,7.156,73.09,84,6,11.52,clear sky
210,Les Cayes,HT,18.2,-73.75,79.14,83,71,7.67,broken clouds
211,Sonoita,MX,31.85,-112.8333,85.64,29,82,3.36,broken clouds
212,Pangody,RU,65.85,74.4859,41.61,70,90,13.06,overcast clouds
213,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.86,61,83,3.67,broken clouds
214,Bengkulu,ID,-3.8004,102.2655,82.38,74,95,7.34,overcast clouds
215,Porbandar,IN,21.6422,69.6093,85.98,66,40,8.05,scattered clouds
216,Vao,NC,-22.6667,167.4833,74.23,83,7,16.98,clear sky
217,Susanville,US,40.4163,-120.653,50.09,91,100,11.5,moderate rain
218,Cordoba,AR,-31.4135,-64.1811,51.24,77,40,9.22,scattered clouds
219,Yerbogachen,RU,61.2767,108.0108,42.71,92,100,4.7,light rain
220,Richards Bay,ZA,-28.783,32.0377,62.35,82,100,16.22,light rain
221,Alofi,NU,-19.0595,-169.9187,76.89,83,51,10.36,broken clouds
222,Diego De Almagro,CL,-26.3667,-70.05,44.69,77,0,3.27,clear sky
223,Valdivia,CL,-39.8142,-73.2459,32.09,99,18,1.74,few clouds
224,Ternate,ID,0.8,127.4,83.84,72,98,6.4,overcast clouds
225,Broome,US,42.2506,-75.833,64.0,91,20,3.44,few clouds
226,Nizhniy Kuranakh,RU,58.8353,125.4869,37.54,97,100,3.02,overcast clouds
227,Pombia,IT,45.653,8.6336,57.25,58,0,3.44,clear sky
228,Nanortalik,GL,60.1432,-45.2371,41.63,96,90,7.74,overcast clouds
229,Hovd,MN,48.0056,91.6419,63.34,15,0,5.91,clear sky
230,Boende,CD,-0.2167,20.8667,73.42,95,49,2.62,light rain
231,Olafsvik,IS,64.8945,-23.7142,50.76,95,100,10.16,overcast clouds
232,Hokitika,NZ,-42.7167,170.9667,54.43,86,98,7.47,overcast clouds
